"-"
"Becherer, Linus"
"Beck, Brian"
"Becker, Alfons"
"Becker, Hansjakob"
"Becker, Hans-Jürgen"
"Becker, Irmgard C."
"Becker, Judith"
"Becker, Klaus M."
"Becker, Nikolaus"
"Becker, Patrick"
"Becker, Rotraud","128913738"
"Becker, Uwe"
"Becker, Walter"
"Becker, Winfried"
"Becket Soule, Warren"
"Beck, Heinrich"
"Beck, Kurt"
"Beckmann, Stephan"
"Beck-Peccoz, Roberta A."
"Beck, Volker/Özdemir Cem"
"Bednarski, Adalberto F."
"Bednarz, Jerzy P."
"Beelte, Annedore"
"Beer, Peter"
"Beestermöller, Gerhard"
"Begg, Christopher"
"Beggiani, Seely"
"Beghi, Massimiliano"
"Bégou-Davia, Michèle"
"Begovic, Tomas"
"Begrich, Thomas"
"Begus, Christian"
"Begus, Cristian"
"Behrends, Okko"
"Beier, Georg"
"Beier, Klaus M."
"Beilage zum Oberhirtlichen Verordnungsblatt 4/2009"
"Beil, Alfons"
"Beinert, Wolfgang"
"Beintker, Michael"
"Beißer, Friedrich"
"Beka, Rezart"
"Belafi, Matthias"
"Bela Iniesta, Javier"
"Belda Iniesta, Javier"
"Belem, Pêgd-Wêndé W."
"Belen, Herdem"
"Belfiore, Gianluca"
"Belgiorno de Stefano, Maria G."
"Beljean, Jean-Jacques"
"Bella, Gianfranco"
"Bellemare, Pierre"
"Bellemare, Pierre Marc"
"Bellemarkers, Wiel L. M."
"Belletti, Michele"
"Bellia, Giuseppe"
"Bellia, Santo"
"Belliger, Andréa"
"Belling, Detlev"
"Belling, Detlev W."
"Bellini, Piero"
"Bell, John"
"Bell, John u. a."
"Bello González, Juan J."
"Bellomo, Manlio"
"Belok, Manfred"
"Beltrame, Sylvain"
"Beltrán y Bachero, José C."
"Bendel-Maidl, Lydia"
"Benedetto, Thereza R."
"Benedict, Jörg"
"Benedikter, Roland"
"Benedikt  XVI.","118598546"
"Benedikt XVI","118598546"
"Benedikt XVI.","118598546"
"Benedito Morant, Vicente"
"Benetti, Felice"
"Benigni, Rita"
"Benito de Tapia, Yolanda"
"Benito Tolsau, Juan"
"Benjamin Lassiwe"
"Benkheira, Mohammed H."
"Benlloch Poveda, Antonio"
"Benloch-Poveda, Antonio"
"Benson, Iain T."
"Bentele, Katrin"
"Bentz, Udo"
"Benucci, Giuseppe M."
"Benz, Michael"
"Beozzo, José O."
"Bepler, Klaus"
"Berardi, Carlo"
"Berberich, Christine"
"Berçaitz de Boggiano, Ana L."
"Berçaitz de Boggiano, Ana Lía"
"Berchtenbreiter, Angelika"
"Bérère, Marie-Jeanne"
"Bergerfurth, Bruno"
"Berger, Klaus"
"Berger, Teresa"
"Bergmann, Jürgen"
"Bergmann, Tore"
"Berg, Peter"
"Bergsdorf, Wolfgang"
"Berg, Werner"
"Berkman, John R."
